year,day_month,Company,Size in Kbyte,Cost in USD,Speed in nanosec,Memory Type,Ref,Page,JDR Chip Prices - Size Kbit,JDR Chip Prices - USD,JDR Chip Prices - nanosec
1988,May,JDR,3072,596.5,,JDR MCT-ATMF 3MB Multifunc $169.90+426.60,BYTE,,256,3.95,150
1988,Jun,JDR,3072,596.5,,JDR MCT-ATMF 3MB Multifunc $169.90+426.60,BYTE,,256,3.95,150
1988,Jul,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1988,Aug,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1988,Sep,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1988,Oct,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1988,Nov,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1988,Dec,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1989,Jan,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1989,Feb,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1989,Mar,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1989,Apr,JDR,3072,1514.5,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*12.45,BYTE,,256,12.45,150
1989,Jun,JDR,3072,1032.82,,JDR MCT-ATMF 3MB Multifunc $169.90+3*36*7.99,BYTE,,1024,24.95,120
1989,Jul,Unitex,4096,789,,Unitex RAMII-EMS - 4MB $249+36*15.00,BYTE,316,1024,19.95,120
1989,Aug,Unitex,4096,753,,Everex RAM II 4M-EMS $249+36*14.,BYTE,302,1024,19.95,120
1989,Sep,Unitex,4096,753,,Everex RAM II 4M-EMS $249+36*14.,BYTE,,1024,13.95,120
1989,Oct,Unitex,8192,1023,,Bocaram AT 8MB - $159+72*12,BYTE,340,1024,13.95,120
1989,Nov,Unitex,10240,1169,,"Everex RAM 10,000 10MB $179+90*11.",BYTE,,1024,13.95,120
1989,Dec,Unitex,8192,905,,Bocaram AT 8MB - $149+72*10.50,BYTE,,1024,11.95,120
1990,Jan,Unitex,8192,851,,Bocaram AT 8MB - $149+72*9.75,BYTE,,1024,11.95,120
1990,Mar,Unitex,8192,786,,Bocaram AT 8MB - $149+72*8.50,BYTE,,1024,11.95,120
1990,May,Unitex,8192,786,,Bocaram AT 8MB - $149+72*8.50,BYTE,,1024,11.95,120
1990,Jun,Unitex,8192,716,,Bocaram AT 8MB - $140+72*8.00,BYTE,,1024,11.95,120
1990,Jul,Unitex,8192,662,,Bocaram AT 8MB - $140+72*7.25,BYTE,,1024,11.95,120
1990,Aug,Nevada,8192,649,,Bocaram AT Plus 8MB - $649,BYTE,,1024,11.95,120
1990,Sep,,8192,572,,Bocaram AT Plus 8MB - $140+72*6.00,BYTE,488,1024,11.95,120
